id,type,cast_id,latitude,longitude,date,time,depth,temperature,salinity,pressure,dissolved_oxygen,region
CTD_Southern_Indian_Ocean_1_20240317_1,CTD_Cast,CTD_Southern_Indian_Ocean_1_20240317,-29.4225,80.3244,2024-03-17,02:11:34,0,28.534,34.93,0.99,6.97,Southern Indian Ocean
CTD_Southern_Indian_Ocean_1_20240317_2,CTD_Cast,CTD_Southern_Indian_Ocean_1_20240317,-29.4225,80.3244,2024-03-17,02:11:34,92.4,19.654,34.476,10.22,5.78,Southern Indian Ocean
CTD_Southern_Indian_Ocean_1_20240317_3,CTD_Cast,CTD_Southern_Indian_Ocean_1_20240317,-29.4225,80.3244,2024-03-17,02:11:34,297.1,9.895,34.671,30.7,4.45,Southern Indian Ocean
CTD_Southern_Indian_Ocean_1_20240317_4,CTD_Cast,CTD_Southern_Indian_Ocean_1_20240317,-29.4225,80.3244,2024-03-17,02:11:34,284,9.079,34.414,29.36,4.7,Southern Indian Ocean
CTD_Southern_Indian_Ocean_1_20240317_5,CTD_Cast,CTD_Southern_Indian_Ocean_1_20240317,-29.4225,80.3244,2024-03-17,02:11:34,484,7.459,34.615,49.41,2.82,Southern Indian Ocean
CTD_Southern_Indian_Ocean_1_20240317_6,CTD_Cast,CTD_Southern_Indian_Ocean_1_20240317,-29.4225,80.3244,2024-03-17,02:11:34,361.1,9.861,34.829,37.14,3.87,Southern Indian Ocean
CTD_Southern_Indian_Ocean_1_20240317_7,CTD_Cast,CTD_Southern_Indian_Ocean_1_20240317,-29.4225,80.3244,2024-03-17,02:11:34,613.7,6.506,34.826,62.39,2.1,Southern Indian Ocean
CTD_Southern_Indian_Ocean_1_20240317_8,CTD_Cast,CTD_Southern_Indian_Ocean_1_20240317,-29.4225,80.3244,2024-03-17,02:11:34,1028.4,1.71,34.794,103.85,2.64,Southern Indian Ocean
CTD_Southern_Indian_Ocean_1_20240317_9,CTD_Cast,CTD_Southern_Indian_Ocean_1_20240317,-29.4225,80.3244,2024-03-17,02:11:34,998.5,3.306,34.837,100.83,2.74,Southern Indian Ocean
CTD_Southern_Indian_Ocean_1_20240317_10,CTD_Cast,CTD_Southern_Indian_Ocean_1_20240317,-29.4225,80.3244,2024-03-17,02:11:34,1317.5,2.03,34.563,132.72,2.32,Southern Indian Ocean
CTD_Southern_Indian_Ocean_1_20240317_11,CTD_Cast,CTD_Southern_Indian_Ocean_1_20240317,-29.4225,80.3244,2024-03-17,02:11:34,1418.4,1.91,34.795,142.8,2.02,Southern Indian Ocean
CTD_Southern_Indian_Ocean_1_20240317_12,CTD_Cast,CTD_Southern_Indian_Ocean_1_20240317,-29.4225,80.3244,2024-03-17,02:11:34,1370.9,2.24,34.687,138.12,2.76,Southern Indian Ocean
CTD_Southern_Indian_Ocean_1_20240317_13,CTD_Cast,CTD_Southern_Indian_Ocean_1_20240317,-29.4225,80.3244,2024-03-17,02:11:34,1304.3,1.612,34.907,131.41,2.28,Southern Indian Ocean
CTD_Southern_Indian_Ocean_1_20240317_14,CTD_Cast,CTD_Southern_Indian_Ocean_1_20240317,-29.4225,80.3244,2024-03-17,02:11:34,1349,2.148,34.584,135.92,2.7,Southern Indian Ocean
CTD_Southern_Indian_Ocean_1_20240317_15,CTD_Cast,CTD_Southern_Indian_Ocean_1_20240317,-29.4225,80.3244,2024-03-17,02:11:34,1669.3,1.991,34.905,167.93,2.14,Southern Indian Ocean
CTD_Southern_Indian_Ocean_1_20240317_16,CTD_Cast,CTD_Southern_Indian_Ocean_1_20240317,-29.4225,80.3244,2024-03-17,02:11:34,1765.6,1.558,34.902,177.58,2.06,Southern Indian Ocean
CTD_Southern_Indian_Ocean_1_20240317_17,CTD_Cast,CTD_Southern_Indian_Ocean_1_20240317,-29.4225,80.3244,2024-03-17,02:11:34,1696.4,2.402,34.611,170.64,2.42,Southern Indian Ocean
CTD_Southern_Indian_Ocean_1_20240317_18,CTD_Cast,CTD_Southern_Indian_Ocean_1_20240317,-29.4225,80.3244,2024-03-17,02:11:34,1028.7,1.657,34.614,103.89,2.1,Southern Indian Ocean
CTD_Southern_Indian_Ocean_2_20240424_1,CTD_Cast,CTD_Southern_Indian_Ocean_2_20240424,-15.513,80.0752,2024-04-24,10:34:10,0,28.681,34.856,1.04,6.72,Southern Indian Ocean
CTD_Southern_Indian_Ocean_2_20240424_2,CTD_Cast,CTD_Southern_Indian_Ocean_2_20240424,-15.513,80.0752,2024-04-24,10:34:10,62.3,23.675,34.777,7.19,6.22,Southern Indian Ocean
CTD_Southern_Indian_Ocean_2_20240424_3,CTD_Cast,CTD_Southern_Indian_Ocean_2_20240424,-15.513,80.0752,2024-04-24,10:34:10,258.3,9.959,34.959,26.85,4.57,Southern Indian Ocean
CTD_Southern_Indian_Ocean_2_20240424_4,CTD_Cast,CTD_Southern_Indian_Ocean_2_20240424,-15.513,80.0752,2024-04-24,10:34:10,241.6,10.041,34.653,25.11,4.74,Southern Indian Ocean
CTD_Southern_Indian_Ocean_2_20240424_5,CTD_Cast,CTD_Southern_Indian_Ocean_2_20240424,-15.513,80.0752,2024-04-24,10:34:10,538.1,7.93,34.794,54.85,2.09,Southern Indian Ocean
CTD_Southern_Indian_Ocean_2_20240424_6,CTD_Cast,CTD_Southern_Indian_Ocean_2_20240424,-15.513,80.0752,2024-04-24,10:34:10,579,6.987,34.941,58.94,2.87,Southern Indian Ocean
CTD_Southern_Indian_Ocean_2_20240424_7,CTD_Cast,CTD_Southern_Indian_Ocean_2_20240424,-15.513,80.0752,2024-04-24,10:34:10,706.2,5.967,34.895,71.64,2.94,Southern Indian Ocean
CTD_Southern_Indian_Ocean_2_20240424_8,CTD_Cast,CTD_Southern_Indian_Ocean_2_20240424,-15.513,80.0752,2024-04-24,10:34:10,428,8.739,34.759,43.81,3.13,Southern Indian Ocean
CTD_Southern_Indian_Ocean_2_20240424_9,CTD_Cast,CTD_Southern_Indian_Ocean_2_20240424,-15.513,80.0752,2024-04-24,10:34:10,563.5,7.606,34.631,57.37,2.56,Southern Indian Ocean
CTD_Southern_Indian_Ocean_2_20240424_10,CTD_Cast,CTD_Southern_Indian_Ocean_2_20240424,-15.513,80.0752,2024-04-24,10:34:10,1215,2.359,34.478,122.54,2.56,Southern Indian Ocean
CTD_Southern_Indian_Ocean_2_20240424_11,CTD_Cast,CTD_Southern_Indian_Ocean_2_20240424,-15.513,80.0752,2024-04-24,10:34:10,547.6,8.087,34.487,55.8,2.19,Southern Indian Ocean
